query_idx,text_hash,true_label,risk_4d,lexical_stop,I_db,I_mem,I_sec,I_dat,neighbor_entropy,mean_distance,class_consensus,conformal_set_size,rag_uncertainty,agent_label_sim,agent_confidence_sim,token_cost_proxy,loop_retry_proxy,plan_entropy,agent_disagreement
254,4e5dc4208fe47f7a2213040fdb46a4732f627bf39e6a76b848acf931b9820f69,pausa,0.0,False,0.0,0.0,0.0,0.0,0.864974,0.104197,0.6,1,0.543746,pausa,0.7000000000000001,1200.0,0,0.864974,0.0
255,620acff0875b40b9d76f409a852793c22b8aed4feb47ae4026b6544c1b22d7eb,pausa,0.0,False,0.0,0.0,0.0,0.0,0.96023,1.0,0.4,2,0.900115,play,0.7000000000000001,1200.0,0,0.96023,0.0
256,0c44744efe7b3c3c787df86563459ccc7a132f0f0d789068f9da2013bf908ab8,pausa,0.06,False,0.0,0.0,0.0,0.0,0.455486,0.13645,0.8,1,0.308678,pausa,0.7000000000000001,1200.0,0,0.455486,0.0
257,e63de7c84d899d7e9bc6b11b04d2684d3b78a3dbe7ed8b6e726eca9502af6d8a,pausa,0.0,False,0.0,0.0,0.0,0.0,0.96023,1.0,0.4,2,0.900115,play,0.7000000000000001,1200.0,0,0.96023,0.0
258,fc6f3eb84acc8ab293adaf6475b7f1971365aac268beb00a94aca6d63f940cbb,pausa,0.0,False,0.0,0.0,0.0,0.0,0.612602,0.045537,0.6,2,0.399962,pausa,0.7000000000000001,1200.0,0,0.612602,0.0
259,38545f172463cdda694285488d0eff85e7cfe5e8bd8f7d2e87fb301256a545ed,pausa,0.0,False,0.0,0.0,0.0,0.0,0.612602,-0.0,0.6,2,0.386301,play,0.7000000000000001,1200.0,0,0.612602,0.0
260,b37ef8bb9e8aea6389ebaec8eadb1544c3a2977e45d98eb07a7f3d2ba0684fde,pausa,0.0,False,0.0,0.0,0.0,0.0,0.455486,0.058895,0.8,1,0.285411,pausa,0.7000000000000001,1200.0,0,0.455486,0.0
261,546b2c4ca8544cf936d71095f3e4a089a278f8b8d921c7a4dc72201f0c7d5c39,play,0.0,False,0.0,0.0,0.0,0.0,0.612602,0.142224,0.6,2,0.428968,play,0.7000000000000001,1200.0,0,0.612602,0.0
262,3b4ef53480bc78649b57d8895e021c0bf9906ac44b562096a73962bcac1be380,pausa,0.0,False,0.0,0.0,0.0,0.0,0.96023,0.104016,0.4,2,0.63132,play,0.7000000000000001,1200.0,0,0.96023,0.0
263,23b57056a9b1330b0ec513dfb71d60ad1a0dfa97b295da6b87e09526acd9916d,pausa,0.0,False,0.0,0.0,0.0,0.0,0.864974,0.177924,0.6,1,0.565864,play,0.7000000000000001,1200.0,0,0.864974,0.0
264,b2875ffbadb0fc2578b7e04e4051d533645a5b01b7b4c602f5ebaac7f088e0cd,pausa,0.0,False,0.0,0.0,0.0,0.0,0.96023,1.0,0.4,2,0.900115,play,0.7000000000000001,1200.0,0,0.96023,0.0
265,77db23f76871567d3c22e8ab8a22ddf677ed315b17381db16a6b55aed4dd4357,pausa,0.0,False,0.0,0.0,0.0,0.0,0.864974,0.021201,0.6,1,0.518847,stop,0.7000000000000001,1200.0,0,0.864974,0.0
266,aba8b9553c4c3d26f8eeb932b64911860c27836bcc1d63bff3c739a6b03c0577,pausa,0.0,False,0.0,0.0,0.0,0.0,0.455486,0.024965,0.8,1,0.275232,pausa,0.7000000000000001,1200.0,0,0.455486,0.0
267,ff123f925c04598f28748e249e8a4e2ea2ed3bf9aae1713420f312e4945afd38,pausa,0.0,False,0.0,0.0,0.0,0.0,0.612602,0.183799,0.6,2,0.441441,play,0.7000000000000001,1200.0,0,0.612602,0.0
268,109a5fcbb0e30f20469eca0ca453fab9c458da30625b8d3317b38c68cdb18f0e,pausa,0.185667,True,0.1,0.0,0.08,0.06,0.96023,1.0,0.4,2,0.900115,play,0.7000000000000001,1200.0,0,0.96023,0.0
269,e2ba3ad14369f2083a8e8f6b45d0b0b0eeb423ae480e817785a0266dec250c50,pausa,0.0,True,0.0,0.0,0.0,0.0,-0.0,0.158096,1.0,1,0.047429,play,0.7000000000000001,1200.0,0,-0.0,0.0
270,941e279fe4cb0c7de6c267e37ad5bcefb45c1bcdfed08b2d85cd0983aae3395b,pausa,0.0,False,0.0,0.0,0.0,0.0,0.96023,0.050994,0.4,2,0.615413,pausa,0.7000000000000001,1200.0,0,0.96023,0.0
271,e466aa34f1fee6eddc198b8a436fb8480574d59c4ce6904298c64521232a09cb,pausa,0.0,False,0.0,0.0,0.0,0.0,0.864974,0.161418,0.6,1,0.560912,pausa,0.7000000000000001,1200.0,0,0.864974,0.0
272,b468c58dbed16c644ba539e8604d11bc57da77e09be6de6a0aca5808812a86e6,pausa,0.0,False,0.0,0.0,0.0,0.0,0.612602,0.076876,0.6,2,0.409364,pausa,0.7000000000000001,1200.0,0,0.612602,0.0
273,3a5b76b5f89d3df7310a91029d6741c0201f3f0754e5c0c7a8c87963ff1de341,pausa,0.075,False,0.0,0.5,0.0,0.0,0.612602,0.027111,0.6,2,0.394434,pausa,0.7000000000000001,1200.0,0,0.612602,0.0
274,f3274d640645681a4226c5153fde08204ae66e72bcb8622ec46507487cc8b69b,pausa,0.0,False,0.0,0.0,0.0,0.0,0.612602,0.051422,0.6,2,0.401727,play,0.7000000000000001,1200.0,0,0.612602,0.0
275,038bb95919de3dccda33302cd38a983ce2aa572d746cc989aecf39f4206a2f2d,pausa,0.0,False,0.0,0.0,0.0,0.0,0.612602,0.0,0.6,2,0.386301,pausa,0.7000000000000001,1200.0,0,0.612602,0.0
276,c126d2062e11518be639c124996082ff764f0824cad85f9d4892a194440a42b0,pausa,0.0,False,0.0,0.0,0.0,0.0,0.455486,0.153669,0.8,1,0.313844,play,0.7000000000000001,1200.0,0,0.455486,0.0
277,3afc3a413c9720c7de37e0ff5a7b2fb359405fbf9c7eb2eca038aa6d3daa06fb,pausa,0.0,False,0.0,0.0,0.0,0.0,0.455486,0.0,0.8,1,0.267743,play,0.7000000000000001,1200.0,0,0.455486,0.0
278,6f1a18deb9ce3ac28137edb6c81543a4e5552083c0e3066cdc756edc570e0344,pausa,0.0,False,0.0,0.0,0.0,0.0,0.612602,0.212135,0.6,2,0.449941,pausa,0.7000000000000001,1200.0,0,0.612602,0.0
279,81529d75c7a7dd1cd30819d510bc6c52324ab89a5e9e68e330ef65c34f93ea75,pausa,0.0,False,0.0,0.0,0.0,0.0,0.455486,0.171535,0.8,1,0.319203,pausa,0.7000000000000001,1200.0,0,0.455486,0.0
280,81e795179cad1652ea0ad25ddbe3fbbfebb31e52cc9ac230c554e9d6c36ffda2,play,0.0,False,0.0,0.0,0.0,0.0,0.612602,0.212773,0.6,2,0.450133,pausa,0.7000000000000001,1200.0,0,0.612602,0.0
281,e6b1729aa2032bb78d6426b01a461a55d8fa894b88ee99221e69c3cdc33f6e00,pausa,0.0,False,0.0,0.0,0.0,0.0,0.612602,0.0,0.6,2,0.386301,play,0.7000000000000001,1200.0,0,0.612602,0.0
282,3df60837c60dbc6e22da783114380d72ee85da08796eb6d79b3bf178cdc788df,pausa,0.0,False,0.0,0.0,0.0,0.0,0.612602,0.0,0.6,2,0.386301,pausa,0.7000000000000001,1200.0,0,0.612602,0.0
283,e5883cae55dca1667c754deeeab4e601e9d5e5866615870cfff3f6865450de08,pausa,0.0,False,0.0,0.0,0.0,0.0,0.96023,0.20053,0.4,2,0.660274,play,0.7000000000000001,1200.0,0,0.96023,0.0
284,0e5a9c08c96c71709860e63684aa03e12451804f060bb8fda8bd8e9a35460784,pausa,0.0,False,0.0,0.0,0.0,0.0,0.612602,0.156962,0.6,2,0.433389,play,0.7000000000000001,1200.0,0,0.612602,0.0
285,e202aa05894906653558aaff19fed832680d8cb17da7bc7fab9f91ba927df487,pausa,0.06,False,0.0,0.0,0.0,0.0,-0.0,0.148265,1.0,1,0.044479,stop,0.7000000000000001,1200.0,0,-0.0,0.0
