method,trial,state,objective_cv,duration_s,pruned,param_mode,param_w_base,param_w_risk,param_w_p_stop,param_w_uncertainty,param_w_rag_gap,param_w_fuzzy_stop,param_threshold_stop,param_threshold_pausa,param_risk_stop_floor,param_p_stop_floor,param_stop_cost_threshold,param_pause_uncertainty
bayes,32,TrialState.COMPLETE,0.7569834041359199,0.055929,False,stop_heavy,0.38707044441314764,0.14324965265518114,0.17396143112044019,0.15031457795267422,0.0940831863160815,0.18071306564836534,0.62,0.22,0.48,0.64,0.45999999999999996,0.36
bayes,33,TrialState.COMPLETE,0.7726421542839448,0.053834,False,stop_heavy,0.42935973429594354,0.1538492993708025,0.1172496114637714,0.1226057585408759,0.09602595830834815,0.16668743029235014,0.58,0.22,0.4,0.6,0.52,0.38
bayes,34,TrialState.PRUNED,0.6401035379369138,0.032384,True,balanced,0.430884730461895,0.18713027766574786,0.11917078676071342,0.11771465613776946,0.09887987189961255,0.1637124133615089,0.58,0.26,0.4,0.6,0.5,0.38
bayes,35,TrialState.COMPLETE,0.7681187682635181,0.055365,False,stop_heavy,0.4322912971283461,0.2320546567744543,0.09613240509966828,0.11592084138923008,0.08674308018784918,0.15395899914504058,0.58,0.2,0.44000000000000006,0.56,0.52,0.38
bayes,36,TrialState.COMPLETE,0.7750632009055639,0.057576,False,stop_heavy,0.4076139183273493,0.15632897028613782,0.15673435630309723,0.12862292332699773,0.07200865284286675,0.13082885914165152,0.6799999999999999,0.22,0.48,0.6,0.48,0.39999999999999997
bayes,37,TrialState.PRUNED,0.5985802752802754,0.030835,True,balanced,0.20144924682118834,0.1984522661254718,0.15460287244794707,0.12716541820253094,0.06633098085757673,0.1282688116956344,0.6799999999999999,0.26,0.48,0.64,0.48,0.39999999999999997
bayes,38,TrialState.PRUNED,0.8393666023232148,0.04013,True,stop_heavy,0.3856212915067033,0.16514392609805761,0.27791367674706413,0.14650359306479396,0.0895299738693495,0.0643280672874304,0.72,0.30000000000000004,0.48,0.6,0.52,0.36
bayes,39,TrialState.PRUNED,0.5055527576428739,0.034651,True,balanced,0.35169464611062495,0.3088784002924847,0.11352094707141719,0.1041748862676471,0.07676655247474641,0.10523674205177343,0.6799999999999999,0.4,0.44000000000000006,0.6,0.45999999999999996,0.38
bayes,40,TrialState.COMPLETE,0.7498615764887072,0.055958,False,stop_heavy,0.3751043394733441,0.3732827793062503,0.16246884252937707,0.14115138254388138,0.0702340616749485,0.08307511977886033,0.74,0.22,0.48,0.64,0.5,0.39999999999999997
bayes,41,TrialState.COMPLETE,0.7621398609118402,0.057489,False,stop_heavy,0.4073410965679047,0.132654796925836,0.13447769933187975,0.126771236982243,0.047102908932512885,0.1973917919791884,0.5599999999999999,0.22,0.4,0.56,0.42,0.42
