query_idx,query_hash,true_label,neighbor_entropy,neighbor_mean_distance,neighbor_mean_similarity,neighbor_n_play,neighbor_n_pausa,neighbor_n_stop,neighbor_majority_label,retrieval_backend
58,4827f7a503ac54179476105353e0042e3c51f6728397865050f12a7f7dc993bf,pausa,0.9709505944546686,0.13066650200899627,0.8693334979910038,2,3,0,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
59,272acb087c6de276b2d765a507a8750ad47140a8f5a0cdc99c111182a354bd6c,pausa,1.5219280948873621,0.06973760440828713,0.9302623955917129,1,2,2,stop,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
60,e18f34becf4f8a98618fdf5fb01831800901981c4012d93da20e7214acafb798,pausa,0.7219280948873623,0.26806658915696147,0.7319334108430386,1,4,0,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
61,fd6bb9676aa960f06b807db09e3b5b3fed31e361134ecea368bb8126a94a8e7d,pausa,1.3709505944546687,0.04483039302366929,0.9551696069763308,1,3,1,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
62,7e7a17fe1640db6ade2c39bb59ecd83c19513d031fe38279d0ed5d64c5d21369,pausa,1.5219280948873621,0.0,1.0,2,2,1,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
63,262472dd90c85e4deb9b2029575d55ddf819f437043f0e9dc31689b976b23e28,pausa,1.3709505944546687,0.1513630268813781,0.8486369731186219,3,1,1,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
64,01ecd6177ee73e60656938e0f0499fe3330db9f03721e26eefa6daf8bbe13590,pausa,0.9709505944546686,0.2244433339441861,0.775556666055814,0,3,2,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
65,b629717ee2c78efe81047f5ea63e37b0f72c4f675577af2fbdbbd69695596aa9,pausa,0.7219280948873623,0.1242420321341513,0.8757579678658487,1,4,0,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
66,c957bf52c7a94994b41a46294c65f06833220772484affcd7c39c045ff2e0d14,pausa,0.9709505944546686,0.31067914116199935,0.6893208588380006,2,3,0,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
67,6c7f8c49f60ba561068c9d59a29b395337b6e54ecb3bee5083b7914094c3a5cb,pausa,0.9709505944546686,0.08863324693801125,0.9113667530619887,2,3,0,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
68,0b53d6658c83a53c84951c3ff3c6cea06330a91ca6c57f90aa8861c8695943ed,stop,0.7219280948873623,0.0792338037922207,0.9207661962077793,4,0,1,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
69,b26b8177d055d7ced041b1302c2949c01ae7c13381568218b770ea8fc188340b,pausa,1.3709505944546687,0.23236962468023456,0.7676303753197654,1,3,1,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
70,97655fcbe6b3fe60680050d0446feb56fb33892c9a9afe20cc6f943a7d300fd2,pausa,1.5219280948873621,0.052433487120248576,0.9475665128797515,2,2,1,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
71,39a29dc81b4975da444783ac60299f2351a014bdaea87ed64965e796ec0c38fc,pausa,0.9709505944546686,0.058591807960355055,0.941408192039645,0,3,2,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
72,cdf8895e0a675a95636bce500d14604bfbf5e911bc22173bc40626c2f0fd2b58,play,1.5219280948873621,1.0,0.0,2,2,1,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
73,49aaaaa339be47bd78422b99f218fc0483d35e06d757b4f5a220f5b606dffc17,pausa,0.7219280948873623,0.03289651715752051,0.9671034828424794,4,1,0,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
